,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
719,"Flower, Sun, and Rain",https://www.igdb.com/games/flower-sun-and-rain,Sixth Generation,Adventure - Puzzle,Single player,Mystery,Kill the Past,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/ya7ao8t6xzlwx4zqefsp.jpg,100,"Flower, Sun and Rain is a PlayStation 2 puzzle adventure game developed by Suda 51. It was also remade on the DS for Europe and the United States."
720,Fluidity,https://www.igdb.com/games/fluidity,Seventh Generation,Puzzle,,,Fluidity,,https://images.igdb.com/igdb/image/upload/t_cover_big/kz9drmal7rs1bnjddlk7.jpg,70,"A magical illustrated encyclopedia called Aquaticus has been tainted by a vial of evil ink called the Influence. As a pool of water that can take on alternate forms of ice and steam, you must overcome obstacles scattered across the pages of Aquaticus and save it from the corruptive Influence. Tilt and twist your Wii Remote controller to use the various forms and properties of water on your free-flowing journey through Aquaticus, where every page has multiple panels and illustrations that come to life. Tackle problems and defeat enemies to reveal magical Rainbow Drops, each of which will restore some of Aquaticus' power and allow it to open more chapters and grant you new powers. These additional powers, such as sticking to objects as a block of ice or shooting bolts of lightning as a steam cloud, will be essential to destroying the Influence and its minions. Along the way, you can also test your ingenuity and reflexes by finding hidden puzzle pieces. These pieces unlock playrooms that give you the opportunity to use the skills you've learned and race against the clock to complete as many challenges as possible. These challenges won't affect your quest to restore Aquaticus' powers, but everyone needs a break now and again, right? Fluidity offers the chance to slosh and slide your way through an imaginative environment filled with challenging adventures. Are you ready to dive into this unique experience?"
721,Flushed Away,https://www.igdb.com/games/flushed-away,Fifth Generation,Adventure,Single player - Split screen,Action,Simple,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/j0mvgztf9h02ho1hjrla.jpg,30,"The only video game based on the DreamWorks Animation and Aardman, Flushed Away lets players relive the movie and beyond as they assume the roles of Roddy, Rita and take the wheel of the Jammy Dodger watercraft. Maneuver through a dangerous underground city filled with enemies, waterfalls and traps in a struggle against the villainous Toad and his evil plans."
722,Folklore,https://www.igdb.com/games/folklore,Seventh Generation,Adventure - Role-playing (RPG),Single player,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co22od.jpg,77,"The answers to the mystery of the past lie within the Folk-ridden Netherworld, waiting for you to explore."
723,Food Network: Cook or Be Cooked,https://www.igdb.com/games/food-network-cook-or-be-cooked,Seventh Generation,Simulator,Single player - Split screen,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/xgngrrbmmlqgeujcedqs.jpg,65,"Cook like a pro in the first video game from Food Network™!Cut, slice and dice your way through 30+ real recipes taught by the experts from Food Network . Learn as you play through fun and delicious recipe challenges that range from breakfast to family meals and even dinner parties. Cook in multi-player mode or on your own. Next Food Network Star Judge Susie Fogelson and Food Network Kitchens Chef Mory Thomas will you hone your cooking skills by offering tips, instruction and feedback on your final dishes. There’s never too many cooks in this kitchen!Includes over 30 simple and delicious Food Network recipesCook like a Food Network chef in your own home!Learn tips and techniques straight from the Food Network KitchensCook with or against your friends!"
724,"Football, Tactics & Glory",https://www.igdb.com/games/football-tactics-and-glory,Eighth Generation,Indie - Simulator - Sport - Strategy,Co-operative - Multiplayer - Single player,Business,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1y5s.jpg,50,"Football, Tactics & Glory is a football management game for strategy lovers.Football, Tactics & Glory reinvents the basics of the football management genre, making it appealing to everyone, not just the most hardcore football management aficionados. The game skips the boring parts of football management games – all those endless tables, numbers, routine and micromanagement. But it is deep enough to keep players engrossed for hundreds of hours.If you enjoy turn-based gameplay, strategy or tycoon games, you will love Football, Tactics & Glory."
725,For Honor,https://www.igdb.com/games/for-honor,Eighth Generation,Fighting - Hack and slash/Beat 'em up,Co-operative - Multiplayer - Single player,Action - Historical,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rb8.jpg,77,"Carve a path of destruction through the battlefield in For Honor, a brand-new game developed by Ubisoft Montreal studio.Enter the chaos of a raging war as a bold knight, brutal viking, or mysterious samurai, three of the greatest warrior legacies. For Honor is a fast-paced, competitive experience mixing skill, strategy, and team play with visceral melee combat.The Art of Battle, For Honor’s innovative control system, puts you in total control of your heroes, each with distinct skills and weapons, as you fight for land, glory, and honor. As a skilled warrior on an intense, believable battleground, you annihilate all soldiers, archers, and opposing heroes who stand in your way."
726,Forager,https://www.igdb.com/games/forager,Eighth Generation,Adventure - Indie - Simulator,Single player,Action - Fantasy,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1hdc.jpg,71,"Forager is the popular crafting, exploration and base building game that can best be defined as “the idle game that you want to actively keep playing”.A quirky mix between old school 2D Zelda experiences and modern Minecraft or Terraria-like crafting games that places players into a small piece of land with just a pickaxe and a desire for expansion and exploration.Players can buy procedurally generated lands to uncover secrets, solve puzzles, find dungeons, treasure and forgotten relics and to expand their sprawling bases. Nearly impossible to put down, there is always something to manage or work towards!"
727,Siren,https://www.igdb.com/games/siren,Sixth Generation,Adventure - Strategy,Single player,Action - Horror - Survival,Siren,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1p0m.jpg,70,"The story revolves around an interconnected cast of characters that possess a power which enables them to see and hear what a nearby character sees. The game was followed by a PlayStation 2 sequel, a reimagining for the PlayStation 3 and a film adaption.Siren is divided into stages, each taking place in one of ten areas in the village of Hanuda, and organized chronologically in a table called the ""Link Navigator"". In order to complete a stage, the player must accomplish a primary objective that usually involves reaching an exit point, subduing undead enemies called ""Shibito"", or finding an item. Objectives in different stages are interconnected via a butterfly effect, and a character's actions in one stage can trigger a secondary objective in another stage.There are miscellaneous items scattered throughout each stage that give the player further insight into the plot's background. Once obtained, these items are archived in a catalog and can be viewed at any time during the game's duration. The game's player characters possess a psychic power named ""sightjack,"" which enables them to see and hear what a nearby Shibito or human sees and hears, and thus pinpoint its position, as well as gain knowledge of their activities and of the position of obtainable items. The clarity of each target depends on the distance from the player character. Once a point of view is located, it can be assigned to one of certain buttons of the controller to easily switch between multiple points of view. However, the player character is unable to move during use of the ability and is thus vulnerable to attack.The game encourages the player to avoid Shibito rather than fight them. Characters can walk silently, avoid the use of a flashlight, and crouch behind objects to elude detection. Certain mission objectives require the player character to use items and/or the environment to distract Shibito from their activity, in order for them to achieve a goal. Others require the player to escort a non-player character. Player characters can also shout at any time in order to get the attention of nearby Shibito. Within most stages, the player character can hide in certain places such as cupboards and lock doors to prevent Shibito from entering. When a Shibito hears a sound made by the player character, it will search in the direction from which they heard the sound. If a character is seen by a Shibito, the latter will pursue the character to kill them either with a melee or ranged weapon or by strangulation. The Shibito will also shout to alert other nearby Shibito. Once the character has remained out of the Shibito's sight for a period of time, the Shibito will give up and resume its usual habits. Weapons are available for the player throughout the game, ranging from melee weapons to firearms. While Shibito can be knocked out in combat, they cannot be killed and will reanimate after a short period of time. If a character is injured, they can recover after some time has passed. Characters will lose stamina during combat and while running."
728,Forbidden Siren 2,https://www.igdb.com/games/forbidden-siren-2,Sixth Generation,Adventure,Single player,Horror - Survival,Siren,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ova.jpg,80,"Forbidden Siren 2 is the second installment in the Siren series.The game tells the story of several characters who become trapped on Yamijima Island, an island off the coast of mainland Japan. On August 3, 1976, an underwater cable was cut, and all power to the island was lost. During the subsequent blackout, all of the islanders disappeared and the island became deserted. Twenty-nine years later, in 2005, a magazine editor called Mamoru Itsuki is visiting the island to conduct research for an article when the ferry he and a small group of other passengers are on capsizes, after it is hit by a red tidal wave. Shortly after his arrival, a group of soldiers crash land on the island after their helicopter has engine troubles. They must all find ways to survive the island's ""monsters"", the shibito.The game is played through several character perspectives, each with his or her own strengths and weaknesses, through an overlapping timeline of the fateful night that alternates between the present and the past. The story can unfold in different ways with, in many cases, two or more different versions of a level, which will have slightly different objectives than the original. If the player is thorough and plays through these optional versions, the story and characters may develop even further than before"
729,Forced,https://www.igdb.com/games/forced,Eighth Generation,Adventure - Hack and slash/Beat 'em up - Indie - Role-playing (RPG),Co-operative - Multiplayer - Single player,Action,Forced,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gzn.jpg,79,"Players are cast as slaves in a fantasy gladiator arena, condemned to fight as gladiators to win their freedom. With the help of Balfus, a Spirit Mentor, they are able to fight their way through the challenges and Guardians at the end of each area and gain freedom for them and their kin."
730,One Piece: World Seeker,https://www.igdb.com/games/one-piece-world-seeker,Eighth Generation,Adventure,Single player,Action - Fantasy - Open world,One Piece,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1syt.jpg,67,"Set sail on an all-new ONE PIECE adventure in ONE PIECE World Seeker! Luffy and the Straw Hat Pirates are back in a new story that puts players’ into Luffy’s point of view, as he battles and explores an expansive and seamless world. Open landscapes provide many paths for players to experience Luffy’s gum-gum abilities and swing into action."
731,Forever Kingdom,https://www.igdb.com/games/forever-kingdom,Sixth Generation,Role-playing (RPG),Single player,Action - Fantasy,Evergrace,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/wa8bbxxdjcxlonmuikna.jpg,63,"A prequel to 2000's Evergrace, Forever Kingdom chronicles the adventures of Darius and his companions Ruyan and Faeana. An evil wizard named Darsul has cursed the three adventurers, causing their souls to become entangled as one. Only by exploring an ancient and mysterious land will they be able to free themselves.Unlike the first title, where players switched back and forth between two different adventurers, this incarnation follows all three characters. While only one character can be controlled at any given time, all share the same life bar referred to as a Soul Gage. Each character also has distinct physical and magical attacks to use on enemies.Gathering items and weapons plays an integral role in character development, as the leveling-up system found in traditional RPGs has been eliminated. Instead, a character's attributes are influenced by his or her equipment. Not only do changes made to an outfit alter ability in battle, but they affect the way other characters perceive players as well.Depending on how NPCs perceive them, players may receive cheaper items or be given information they would not otherwise be privy to. A character's weapons, clothes, and items are shown in real time, thus any changes made will instantly alter his or her outward appearance."
732,forma.8,https://www.igdb.com/games/forma-dot-8,Eighth Generation,Adventure - Indie,Single player,Action - Science fiction,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wly.jpg,78,"Explore, fight and solve puzzlesUncover the secrets of a mysterious alien planet in this open world metroidvania adventure, where nothing is what it seems…Accidentally stranded during a crucial mission, the forma.8 probe will need to survive and accomplish the unthinkable.What really happened on this planet?Who, or what lived here? And when?What’s the secret behind its history?These are only but a handful of the questions in need of answers. Or else…everything will be lost.The peculiar visual style, coupled with a deep lore and classic action-adventure mechanics makes forma.8 a unique experience, worth savoring and enjoy to the fullest."
733,Nippon Marathon,https://www.igdb.com/games/nippon-marathon,Eighth Generation,Indie - Racing - Sport,Multiplayer - Single player,Comedy - Party,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1hmb.jpg,20,"San! Ni! Ichi! Hajime!!! Stretch your muscles and embark upon the ultimate marathon of Nippon in a crazy, physics-driven, four-player party racer where anything can happen!"
734,Formula 1,https://www.igdb.com/games/formula-1,Fifth Generation,Adventure - Racing - Simulator - Sport,Multiplayer - Single player,Action - Educational,F1,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/qkgglcdxvdytmcuyzg9g.jpg,81,"Formula 1 features the tracks, cars, advertising and excitement from the 1996 Formula 1 season. Murray Walker provides the commentary in his unique style. Players choose from thirty drivers with an abundance of options before even heading out onto the track. Options include weather conditions, arcade or Grand Prix modes, car dynamics, skill level, and number of rounds."
735,Nippon Marathon,https://www.igdb.com/games/nippon-marathon,Eighth Generation,Indie - Racing - Sport,Multiplayer - Single player,Comedy - Party,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1hmb.jpg,20,"San! Ni! Ichi! Hajime!!! Stretch your muscles and embark upon the ultimate marathon of Nippon in a crazy, physics-driven, four-player party racer where anything can happen!"
736,Formula One 2003,https://www.igdb.com/games/formula-one-2003,Sixth Generation,Racing - Simulator - Sport,Multiplayer - Single player,,F1,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/l2p2vialvmcvgtrujhpp.jpg,80,"This game is an officially licensed product of the FIA Formula One 2003 championship. It features all the drivers, tracks (including changes), teams and the new qualifying rules and point tables. You can fine-tune almost every aspect of the chosen car to create the best setup for the current track."
737,Fortified,https://www.igdb.com/games/fortified,Eighth Generation,Indie - Shooter - Strategy,Co-operative - Multiplayer - Single player,Action - Science fiction,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2igp.jpg,69,"Fortified is an explosive strategy shooter where players will defend the Earth against a menacing Martian invasion in the 1950s. Play as one-of-four pulp inspired heroes as they fight swarms of terrifying robots with an arsenal of Cold War era weapons and experimental technology. Protect the city by building a network of defensive structures, commanding an army, and jumping into battle against dangerous sky scraping attackers. Fight for Earth alone or with up to four players for the ultimate co-op defense experience."
738,Uncharted: Drake's Fortune,https://www.igdb.com/games/uncharted-drake-s-fortune,Seventh Generation,Adventure - Platform - Shooter,Single player,Action - Fantasy - Historical,Uncharted,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tp7.jpg,90,"A 400-year-old clue in the coffin of Sir Francis Drake sets a modern-day fortune hunter on an exploration for the fabled treasure of El Dorado, leading to the discovery of a forgotten island in the middle of the Pacific Ocean.The search turns deadly when Nathan Drake becomes stranded on the island and hunted by mercenaries. Outnumbered and outgunned, Drake and his companions must fight to survive as they begin to unravel the terrible secrets hidden on the Island."
739,Fortune Street,https://www.igdb.com/games/fortune-street,Seventh Generation,Card & Board Game - Role-playing (RPG),Multiplayer - Single player,Party,Itadaki Street,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dvu.jpg,65,"Get on board, corner the market & make a fortune! Players become familiar characters from the Nintendo and Dragon Quest universes in a board game that challenges them to play the real estate and stock markets wisely to win. Players race around the board trying to accumulate wealth and hit a target value while buying, selling and trading property with friends and family to see who can be the first to cash out. What appears at first to be a simple property-buying board game offers multiple levels of money-maximizing opportunity."
740,Forza Horizon 2,https://www.igdb.com/games/forza-horizon-2,Seventh Generation,Racing - Simulator,Single player,Open world,Forza Horizon,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2f5s.jpg,86,"Race through a massive wide-open world featuring dramatic weather and day-to-night cycle in Forza Horizon 2. Instantly connect with friends in the ultimate celebration of speed, style, and action-packed driving. Explore beautiful and exotic locations in more than 200 of the world’s greatest cars, all created with precise detail in stunning 1080p."
741,Forza Horizon 3,https://www.igdb.com/games/forza-horizon-3,Eighth Generation,Arcade - Racing,Co-operative - Multiplayer - Single player,Open world,Forza Horizon,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2e25.jpg,89,"You’re in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you."
742,Forza Horizon 4,https://www.igdb.com/games/forza-horizon-4,Eighth Generation,Racing,Multiplayer - Single player,Sandbox,Forza Horizon,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2e1a.jpg,91,"Dynamic seasons change everything at the world’s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world. Collect, modify and drive over 450 cars. Race, stunt, create and explore – choose your own path to become a Horizon Superstar."
743,Forza Motorsport 3,https://www.igdb.com/games/forza-motorsport-3,Seventh Generation,Racing - Simulator - Sport,Multiplayer - Single player - Split screen,,Forza Motorsport,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/m1qtsn4ehaen83bbp1ee.jpg,90,Forza Motorsport 3 is a racing video game developed for Xbox 360 by Turn 10 Studios. It was released in October 2009. It is the sequel to Forza Motorsport 2 and the third installment in the Forza Motorsport series. The game includes more than 400 customizable cars (More than 500 cars in the Ultimate Collection version) from 50 manufacturers and more than 100 race track variations with the ability to race up to eight cars on track at a time. These cars vary from production cars to race cars such as those from the American Le Mans Series.[1]
744,Forza Motorsport 5,https://www.igdb.com/games/forza-motorsport-5,Eighth Generation,Racing - Simulator - Sport,Multiplayer - Single player - Split screen,Non-fiction,Forza Motorsport,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nms.jpg,78,"Forza Motorsport 5 is a cinematic automotive journey starring the world’s greatest cars and tracks. Built from the ground up to take advantage of Xbox One and the vast power of the cloud, no game better delivers the wide-eyed thrill of racing."
745,Forza Motorsport 5,https://www.igdb.com/games/forza-motorsport-5,Eighth Generation,Racing - Simulator - Sport,Multiplayer - Single player - Split screen,Non-fiction,Forza Motorsport,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nms.jpg,78,"Forza Motorsport 5 is a cinematic automotive journey starring the world’s greatest cars and tracks. Built from the ground up to take advantage of Xbox One and the vast power of the cloud, no game better delivers the wide-eyed thrill of racing."
746,Forza Motorsport 6,https://www.igdb.com/games/forza-motorsport-6,Eighth Generation,Racing - Simulator - Sport,Multiplayer - Single player,Action,Forza Motorsport,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1o5t.jpg,84,"Experience unrelenting action in the most beautiful and comprehensive racing game of this generation. Collect, customize, and race over 450 Forzavista cars, all with working cockpits, opening doors and full damage. Compete in epic 24-player races across 26 world-famous locales. Master wet weather and night racing on your road to victory."
747,Forza Motorsport 7,https://www.igdb.com/games/forza-motorsport-7,Eighth Generation,Racing - Simulator,Multiplayer - Single player,Non-fiction,Forza Motorsport,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co24hd.jpg,86,"Forza Motorsport 7 immerses players in the exhilarating thrill of competitive racing. From mastering the new motorsport-inspired campaign to collecting a wide range of cars to experiencing the excitement of driving at the limit, this is Forza reimagined."
748,Foul Play,https://www.igdb.com/games/foul-play,Seventh Generation,Adventure - Arcade - Fighting - Hack and slash/Beat 'em up - Indie,Co-operative - Multiplayer - Single player,Action - Comedy,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/mtsnf7yhplf8eorvdryp.jpg,64,Play as the daemon-hunter Baron Dashforth in a side-scrolling co-op brawler set entirely on the grand spectacle of a theatre stage that rewards performance over pummeling. Perform shattering takedowns and reversals!
749,NBA 2K20,https://www.igdb.com/games/nba-2k20,Eighth Generation,Simulator - Sport,Co-operative - Multiplayer - Single player,,NBA 2K,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wmv.jpg,77,"This isn’t a game. This is the place the game comes to learn. This is the place the present can’t catch. Where next gets known and the ball decides your fate. From the blacktop to the hardwood and throughout the Neighborhood, NBA 2K20 and its next level features are the closest thing to actually playing in the league.This isn’t a game.This is the place everything else follows.Welcome to the Next."
750,NHL 20,https://www.igdb.com/games/nhl-20,Eighth Generation,,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1pk8.jpg,79,"In NHL® 20, your favorite NHL stars now look and feel more authentic with new Signature Shots and over 45 new shot types that make every attack a threat. A new broadcast package celebrates your biggest plays as you take on all-new game modes, including the new winner-take-all Eliminator mode where you play solo or team up with friends to take down the competition."
751,Fracture,https://www.igdb.com/games/fracture,Seventh Generation,Shooter,Multiplayer - Single player,Action - Science fiction,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/jjuirlvzbqvmc5cqsde0.jpg,67,"Set in 2161, global warming has caused the U.S. to split into two. Fracture tells the story of Jet Brody, a soldier for the Atlantic Alliance (the former East Coast), as he fights the Republic of Pacifica (the former West Coast) led by former Alliance General Sheridan."
752,Fragile Dreams: Farewell Ruins of the Moon,https://www.igdb.com/games/fragile-dreams-farewell-ruins-of-the-moon,Seventh Generation,Adventure - Role-playing (RPG),Single player,Action - Science fiction - Survival,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hlh.jpg,68,"Fragile Dreams takes place after an apocalyptic event that wiped out most of mankind. Young Seto finds a note from his deceased grandfather urging him to travel to the red tower that lights up the night sky. Along the way he finds a young, silver haired girl Ren who drives him to journey through the ruined world in search of companionship.Fragile Dreams: Farewell Ruins of the Moon is an action-adventure game with light RPG elements and a focus on exploring the often desolate surroundings. Players are tasked with navigating the empty environments while fighting ghosts and obtaining items such as sketches and short stories that reveal the last moments of the lives of those lost in the great catastrophe. Seto is guided through a third-person perspective and the flashlight is one of his most important aids. Controlled through the Wii Remote it illuminates dark surroundings to interact with the environment and is needed to solve many puzzles. It can also uncover hidden enemies and often a sound through the mini speaker provides a hint about their location.The Nunchuck is used to walk, sneak around, and crouch. It is possible to go into a first-person perspective to get a better view of the environment. Additional weapons that can be picked up during the course of the game are sticks, an iron pipe, a bow, a hammer, a bamboo sword, and a katana."
753,Frank Thomas Big Hurt Baseball,https://www.igdb.com/games/frank-thomas-big-hurt-baseball,Fourth Generation,Sport,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/nocover_qhhlj6.jpg,60,"Baseball player Frank Thomas licensed one of the first baseball games to use motion-captured 3D graphics and multiple camera angles. 28 stadia have been rendered in 3D, and each has its own visible and significant differences.There are 6 distinct game modes, allowing for single exhibition matches as well as full seasons on the playoffs. There is also a Home Run Derby mode, allowing the player to pelt the ball out of the ground for points.You can choose pitchers and batters, based on their statistics and form. Bowling options are set to define the delivery, with fastballs and curveballs as well as more precise setting of pace and height. Fielding is optional - it's best to leave this to the computer at first You can always alter the infield and outfield depth and shift."
754,Frantics,https://www.igdb.com/games/frantics,Eighth Generation,,,Party,,,https://images.igdb.com/igdb/image/upload/t_cover_big/kidb13rg75b6srnnit9p.jpg,72,Game for PlayStation 4.
755,Freaky Flyers,https://www.igdb.com/games/freaky-flyers,Sixth Generation,Racing,Single player - Split screen,,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/a8hwfhzbbdcvdzvvl62x.jpg,68,"Freaky Flyers is an air racing video game developed internally by Midway San Diego for Xbox and PS2 while the GameCube version was developed by Point of View, Inc. and published by Midway Games.[citation needed]"
756,Free Realms,https://www.igdb.com/games/free-realms,Seventh Generation,Puzzle - Racing - Role-playing (RPG) - Turn-based strategy (TBS),Massively Multiplayer Online (MMO),,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co25hd.jpg,80,"Free Realms was a massively multiplayer online role playing video game, developed by Sony Online Entertainment (SOE) for the PC, Mac, and PlayStation 3, set in a fantasy-themed world named Sacred Grove. The game was released on April 29, 2009, for the Windows PC. The game restricted free to play up to level 20, although there was access to additional game content via a membership fee. The game allowed the player to fight, interact with other players, and more. It was closed on March 31, 2014; SOE stated that they no longer had enough resources to maintain so many servers."
757,Free Running,https://www.igdb.com/games/free-running,Fifth Generation,Racing - Sport,Single player,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/ynzxqkjklltvucsc01la.jpg,50,"The whole ethos of Free Running (an urban environment sport also known as Parkour) is to be free, break boundaries, go where others dare not. In this game, the world around you becomes your playground -- where others walk, you jump; where others stop, you climb; where others stall, you leap to victory!"
758,Freedom Fighters,https://www.igdb.com/games/freedom-fighters,Sixth Generation,Shooter - Simulator,Multiplayer - Single player,Action - Fantasy - Historical,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co26dz.jpg,70,"Freedom Fighters is a third-person shooter, in which the player navigates through the streets of New York while fighting the Soviet forces. The game also contains squad-based elements, having a charisma meter. The player gains charisma by performing heroic deeds in the resistance movement against the invading forces, like capturing a base or destroying vital supplies. The more charisma that is gained, the more squad-mates the character can recruit, including leaderless guerrillas and wounded Russian soldiers, up to a maximum of twelve.Freedom Fighters uses a simple method of controlling recruits in battle. In the game, the player can command recruits by giving them simple orders such as ""follow"", ""attack"" and ""defend"", but in most situations, they take care of themselves. Given the terrain of New York City after the initial invasion, the Resistance usually stations its soldiers in covered positions like craters and buildings."
759,Freedom Planet,https://www.igdb.com/games/freedom-planet,Eighth Generation,Indie - Platform,Single player,Action - Fantasy - Science fiction,Freedom Planet,Side view - Text,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qr7.jpg,82,"Freedom Planet is a combat-based platform adventure that pits a spunky dragon girl and her friends against an alien attack force. There's trouble around every turn, from insects to giant robots to sheer explosive destruction, but you'll have a variety of special fighting abilities to blast your way through each stage.As Lilac, you can use Dragon powers to whip enemies with your hair, spin like a cyclone, or fly through the air at high speed like a comet.As Carol, you can bust through foes with a flurry of punches and kicks or summon motorcycles that let you ride up walls and ceilings."
760,Freekstyle,https://www.igdb.com/games/freekstyle,Fifth Generation,Racing - Sport - Strategy,Single player - Split screen,Action,Chessmaster,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/l2z5fcy1a6levsxphbgs.jpg,60,"You've been waiting for it and now it's here - FreekStyle - the ultmate go-for-broke freestyle motocross experience. EA SPORTS BIG brings you motoX like you've never seen it - pushing even the greatest riders to go full throttle while pulling the craziest tricks on awesome tracks. FreekStyle isn't just about being the fastest rider; it's about being absolutely fearless. Backflips, Tsunamis and Mulisha Airs - you can do it all against the world's craziest moto daredevils."
761,Freekstyle,https://www.igdb.com/games/freekstyle,Fifth Generation,Racing - Sport - Strategy,Single player - Split screen,Action,Chessmaster,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/l2z5fcy1a6levsxphbgs.jpg,60,"You've been waiting for it and now it's here - FreekStyle - the ultmate go-for-broke freestyle motocross experience. EA SPORTS BIG brings you motoX like you've never seen it - pushing even the greatest riders to go full throttle while pulling the craziest tricks on awesome tracks. FreekStyle isn't just about being the fastest rider; it's about being absolutely fearless. Backflips, Tsunamis and Mulisha Airs - you can do it all against the world's craziest moto daredevils."
762,Freestyle Boardin' '99,https://www.igdb.com/games/freestyle-boardin-99,Fifth Generation,Sport,,,,,https://images.igdb.com/igdb/image/upload/t_cover_big/s2vvpfwdm2ybiw3tzhnr.jpg,60,"Hit the slopes with Capcom's snow boarding experience Freestyle Boardin' '99. Featuring six boarders and ten different courses, Freestyle Boardin' '99 will test your skills in four modes of play -- Championship, Timed Competition, Freestyle, and Versus. Visit backcountry downhill slopes and then hit the half pipe or straight jump competition, all the while keeping your eyes on that coveted gold medal."
763,Freestyle Street Soccer,https://www.igdb.com/games/freestyle-street-soccer,Sixth Generation,Sport,Single player - Split screen,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/ygdyybrgno1auoavyzy8.jpg,40,"Urban Freestyle Soccer provides the player(s) with hours of twisted, unrealistic freestyle football/soccer. The players pick their team(s), depending on whether they're playing against the AI or another player, and play exciting and adrenaline rush filled matches."
764,FreezeME,https://www.igdb.com/games/freezeme,Eighth Generation,Adventure - Indie - Platform,Single player,Action,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1l83.jpg,67,FreezeME is a A 3D platformer in the style of the 90s-era but wait there is a twist! The main character “R” has one special tool – a camera around her neck. This camera allows her to literally freeze the objects she photographs.
765,Frogger: Helmet Chaos,https://www.igdb.com/games/frogger-helmet-chaos,Fifth Generation,Platform,,Action,Frogger,,https://images.igdb.com/igdb/image/upload/t_cover_big/yzpo9af5nmuun3nkyutf.jpg,60,"Frogger returns in an all-new platform game, Frogger Helmet Havoc. In the amphibious hero's latest adventure, Frogger must stop an evil force that threatens his home, Firefly Swamp, and the nearby kingdom of Bunnington Hollow. To stop Dr. Wani and his destructive mining efforts, you must help Frogger hop and dodge his way to the mastermind's lair. Frogger has unique abilities that allow him to climb walls, double-jump, tongue-grab, and more."
766,Frogger's Adventures: The Rescue,https://www.igdb.com/games/frogger-s-adventures-the-rescue,Sixth Generation,Adventure,Single player - Split screen,Action,Frogger,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gp1.jpg,77,"'The Rescue' is another game in the storied Frogger franchise. You play as Frogger who must ""hop-n-dodge"" his way through 7 worlds and 25 plus levels. All this in search for his girlfriend. The gameplay follows in its predecessors footsteps with challenging puzzles and enemies. On your quest you will also encounter mini-quests and side stories adding to the fun. In addition to the story mode is a multi-player mode for up to 4 players to compete in action."
